time,lat,lon,fire_weather_index (fwi)
1979-01-01,51.25,6.5,3.2680736
1979-01-01,51.25,6.75,2.9172916
1979-01-01,51.25,7.0,2.5545855
1979-01-01,51.25,7.25,2.2446942
1979-01-01,51.25,7.5,2.086499
1979-01-01,51.25,7.75,2.0480206
1979-01-01,51.25,8.0,1.9917665
1979-01-01,51.25,8.25,1.8976828
1979-01-01,51.25,8.5,1.9345523
1979-01-01,51.25,8.75,2.2358904
1979-01-01,51.25,9.0,2.662365
1979-01-01,51.25,9.25,2.897097
1979-01-01,51.25,9.5,3.0830507
1979-01-01,51.25,9.75,3.324959
1979-01-01,51.25,10.0,3.6247954
1979-01-01,51.25,10.25,3.9112766
1979-01-01,51.25,10.5,4.149012
1979-01-01,51.25,10.75,4.488565
1979-01-01,51.25,11.0,4.764613
1979-01-01,51.25,11.25,4.83321
1979-01-01,51.25,11.5,4.8263307
1979-01-01,51.25,11.75,4.868046
1979-01-01,51.25,12.0,4.9867005
1979-01-01,51.25,12.25,5.0971403
1979-01-01,51.25,12.5,5.0774736
1979-01-01,51.25,12.75,5.084748
1979-01-01,51.25,13.0,5.163503
1979-01-01,51.25,13.25,5.34122
1979-01-01,51.25,13.5,5.61677
1979-01-01,51.25,13.75,5.72234
1979-01-01,51.25,14.0,5.620684
1979-01-01,51.25,14.25,5.381089
1979-01-01,51.25,14.5,5.2605186
1979-01-01,51.25,14.75,5.45789
1979-01-01,51.25,15.0,5.818246
1979-01-01,51.5,5.75,3.6315517
1979-01-01,51.5,6.0,3.5664828
1979-01-01,51.5,6.25,3.4951391
1979-01-01,51.5,6.5,3.416797
1979-01-01,51.5,6.75,3.3392012
1979-01-01,51.5,7.0,3.235046
1979-01-01,51.5,7.25,3.1369672
1979-01-01,51.5,7.5,3.1348736
1979-01-01,51.5,7.75,3.1867738
1979-01-01,51.5,8.0,3.151605
1979-01-01,51.5,8.25,2.9637108
1979-01-01,51.5,8.5,2.7274814
1979-01-01,51.5,8.75,2.6934013
1979-01-01,51.5,9.0,2.8399663
1979-01-01,51.5,9.25,3.046293
1979-01-01,51.5,9.5,3.208514
1979-01-01,51.5,9.75,3.3276367
1979-01-01,51.5,10.0,3.4433253
1979-01-01,51.5,10.25,3.4642518
1979-01-01,51.5,10.5,3.4590297
1979-01-01,51.5,10.75,3.5527477
1979-01-01,51.5,11.0,3.8570325
1979-01-01,51.5,11.25,4.210173
